FMCG_CID,CurrentBalance,YearInflow,ManualTransactions,onlineTransactions,TotalTransactions,NoOfclosedAccounts,NewAccountsOpened,No.ofchequeBounces,No.of failedtransactions,YearOutflow,OverallPerspective
191416,69016351,91506260144,881084,80508181,81388116,628,2568,1920,5815035,70559611954,2
209212,78967829,39488497795,938424,376237471,377174919,657,4848,1226,2064860,76650316850,1
198656,90414487,20882686190,15711,447244560,447256753,171,4161,9660,7078893,34697341013,0
112274,6280075,99570394528,696044,750336814,751030847,1023,7990,7477,5060759,52716316728,2
167709,20924361,31245289761,335402,145805047,146138325,905,9150,553,1623524,68610729503,1
152514,2161363,40405972261,171126,546564637,546733812,849,6316,875,1986099,57236540764,1
168248,97708558,61217256861,710318,746591928,747299224,572,2608,8699,8160581,13922332788,1
127210,63705074,32460022155,819263,978627541,979442851,160,9413,9066,9051656,32657422593,0
173085,30297740,65694235709,388705,432022383,432407236,308,9811,5529,6484858,16905688847,1
202281,44455116,20601278336,39026,349390950,349427131,332,5413,6101,3225681,12309119087,0
199752,56383692,63242156348,342391,234998550,235339910,189,3922,1214,7234533,59316022952,1
123254,95179848,55749992876,543707,753868157,754409619,645,7466,8751,2907373,74636029127,1
154507,15108332,29448916255,137682,262572736,262707992,654,7376,5404,5753169,33725677472,0
206919,27522234,39097122873,392915,549547664,549938075,908,5162,7603,7915568,24974701815,0
141111,66007681,5174716361,958918,242804799,243759825,536,7512,8621,4772417,29387547140,0
131425,59649590,64471271953,862070,122086893,122947840,414,3822,912,897550,2350304993,0
183921,25040641,19244918094,790991,203651817,204442763,324,2227,2257,8536742,89876126651,1
120695,58266989,89976446040,602699,745455378,746057046,897,9725,6871,2029030,59954608103,2
162358,35727369,31510854522,823428,647999795,648820216,313,3437,6925,1504677,73299681261,1
142889,25906932,37968385335,429266,831884640,832311808,187,7334,646,2838815,53752696032,1
173498,20196520,93788521133,896765,155342989,156239692,730,7502,3754,2970927,18907418373,1
197337,52990566,11378769366,906050,485356331,486260406,183,9345,2975,7693042,11568644375,0
192276,39429541,66182571479,849990,135666067,136513647,996,6859,1290,8324236,35211011705,1
157631,91030489,60907711838,802897,65395131,66194395,434,3324,5813,730914,59098333461,1
150568,65472509,80795073525,443497,771558977,772000851,715,2488,6039,7228859,84394584555,2
134631,72912333,2264711664,864785,67864110,68726991,554,5965,1038,6348266,73238363310,1
168760,56263626,29691491063,961580,789419216,790380739,552,1140,7656,3483182,64593357822,1
188759,55503647,23148583835,983008,910504388,911487026,94,9374,4134,64876,68919454488,1
183150,37755726,45514570711,131361,53363872,53492233,497,1471,5311,1430093,83640204315,1
188319,7356726,8795150298,394220,626121471,626512004,739,2345,7784,9423801,43057011490,0
129135,13207150,53975642177,725757,509849441,510572006,547,6640,9376,623812,94798526629,2
170274,77790093,97100267667,587852,335979674,336567410,428,5371,9875,7789284,34440469520,1
116964,15205857,92704232075,834214,522044807,522875259,790,5454,7025,3515896,99325536880,2
162818,35749019,45052357473,550442,532247816,532797071,499,7054,6122,1720630,81879994332,1
207167,96009910,40872806659,616276,662661134,663274026,468,9053,5756,9023400,98925533574,2
143055,42258605,20173956270,613787,541509054,542119153,221,5225,2674,9219094,48994827680,0
159223,81231008,8891127063,422848,366771973,367194494,1011,6546,1870,2456707,6517908595,0
172508,22389251,6397752490,748973,761538128,762285571,812,6390,4575,361925,20611589773,0
118851,58181200,47082673499,240679,688696536,688936126,949,8242,1582,6746994,41621335112,1
